448,364,1375,target1
1197,444,2187,target2
326,412,2968,target1
1284,464,3468,target2
95,477,4046,miss
252,492,4296,target1
1311,491,5281,target2
488,412,5968,target1
1102,507,6484,target2
393,536,6984,target1
1092,527,7437,target2
177,385,8078,target1
1251,535,8796,target2
395,396,9458,target1
1293,446,10333,target2
628,366,11786,miss
437,400,12114,target1
1282,360,12630,target2
448,548,13836,target1
1330,347,14382,target2
345,353,15047,target1
1310,361,15609,target2
297,380,16250,target1
1179,495,16797,target2
323,451,17360,target1
1210,490,17828,target2
204,425,18297,target1
1223,505,18766,target2
499,496,19364,target1
1005,478,19942,target2
175,442,20520,target1
1374,504,21051,target2
350,321,21864,target1
1214,575,22520,target2
223,429,22989,target1
1093,487,23536,target2

