341,413,1879,target1
1064,445,2379,target2
267,480,2888,target1
1040,366,3456,target2
283,413,4018,target1
1032,381,4757,target2
434,396,5353,target1
1158,426,5896,target2
244,463,6396,target1
1057,494,6909,target2
436,476,7478,target1
1048,465,7991,target2
295,416,8573,target1
969,471,9107,miss
265,464,9627,target1
1289,459,10216,target2
456,456,10866,target1
1070,403,11441,target2
382,364,12008,target1
1059,469,12753,target2
464,371,13376,target1
1088,409,13992,target2
362,424,14481,target1
1263,416,14961,target2
399,399,15666,target1
1069,421,16274,target2
310,440,16774,target1

