176,15,5
179,17,150
186,24,157
198,42,164
213,64,171
229,90,177
239,115,184
248,137,191
260,151,198
270,162,204
283,184,211
298,202,218
310,220,225
326,242,232
332,263,238
337,270,245
350,290,252
359,304,259
371,326,266
385,359,272
390,376,279
400,401,286
402,410,293
410,424,299
413,431,306
417,440,313
422,447,320
424,454,326
426,463,333
429,467,340
433,471,347
433,473,354
433,475,360
433,477,367
433,480,455
482,475,801
552,466,807
611,462,814
661,462,821
744,457,828
804,453,834
853,453,841
897,456,848
937,456,855
973,456,862
985,456,868
1013,456,875
1029,456,882
1046,454,889
1058,454,895
1067,454,902
1076,454,909
1080,454,916
1087,454,923
1090,454,929
1097,454,936
1099,454,943
1102,454,950
1109,454,956
1118,454,963
1124,452,970
1131,447,977
1135,447,983
1144,445,990
1148,445,997
1152,445,1004
1155,445,1010
1162,445,1017
1166,445,1024
1169,445,1031
1173,445,1038
1183,443,1044
1186,443,1051
1190,443,1058
1197,443,1065
1206,443,1072
1209,443,1078
1211,443,1085
1213,443,1092
1215,445,1099
1216,451,1105
1216,453,1112
1218,456,1119
1218,458,1126
1218,460,1133
1175,452,1397
1153,443,1403
1107,432,1411
1086,423,1418
1053,410,1425
1036,407,1432
1023,404,1438
1014,402,1445
996,396,1452
987,394,1459
970,388,1465
954,388,1472
940,383,1479
923,380,1486
917,380,1492
908,380,1499
904,380,1506
902,380,1513
901,380,1519
899,380,1526
897,380,1533
895,380,1580
892,380,1601
890,380,1641
888,380,1655
885,380,1662
878,380,1668
869,381,1675
857,381,1682
840,387,1689
833,387,1695
818,389,1702
811,389,1709
793,389,1716
786,389,1723
771,389,1729
767,389,1736
751,382,1743
734,380,1750
733,380,1757
703,377,1763
678,371,1784
676,371,1790
663,371,1797
661,371,1804
650,372,1811
646,372,1818
631,375,1824
629,375,1831
627,375,1838
571,394,1858
551,394,2143
527,392,2150
502,389,2157
482,386,2164
475,384,2170
463,382,2177
456,382,2184
452,380,2191
446,377,2198
441,375,2205
435,375,2211
429,375,2218
425,375,2225
416,375,2232
414,375,2239
410,375,2245
409,375,2252
407,375,2259
405,375,2266
404,375,2272
402,376,2279
398,376,2286
397,376,2293
397,378,2300
397,380,2306
397,381,2313
397,383,2320
397,385,2327
397,386,2333
436,382,2672
472,382,2679
529,374,2686
596,370,2692
654,370,2699
698,367,2706
734,369,2713
777,369,2719
793,369,2726
810,369,2733
826,369,2740
846,369,2747
874,369,2753
883,369,2760
898,369,2767
907,369,2774
914,369,2780
923,369,2787
929,371,2794
936,373,2801
945,376,2808
958,378,2815
971,381,2822
977,381,2829
984,381,2836
993,381,2842
997,381,2849
1001,381,2856
1002,381,2863
1004,383,2870
1006,383,2876
1009,383,2883
1009,384,2897
1011,384,2903
1013,386,2910
1014,386,2917
1016,386,2924
1018,388,2930
1020,389,2951
1020,391,2958
1020,393,2964
1020,394,2971
1020,398,2978
1020,400,2985
1020,402,2992
983,385,3425
928,356,3432
902,339,3439
850,299,3445
780,267,3452
736,248,3459
702,228,3466
676,209,3473
632,183,3479
606,167,3486
584,154,3493
563,142,3500
545,136,3507
532,131,3513
525,128,3520
506,123,3527
489,120,3534
483,116,3541
464,113,3547
458,113,3554
442,110,3561
435,108,3568
429,106,3574
420,104,3581
413,101,3588
407,101,3595
398,101,3602
391,99,3608
385,97,3615
378,93,3622
362,87,3629
355,85,3635
340,83,3642
333,78,3649
324,76,3656
317,74,3663
311,71,3669
301,67,3676
300,67,3683
296,65,3690
289,63,3696
283,60,3703
273,56,3710
266,51,3717
260,49,3724
250,41,3730
233,36,3737
215,30,3744
198,24,3751
191,20,3757
172,6,3764
165,1,3771
145,2,3961
156,12,3968
162,17,3974
169,24,3981
179,29,3988
179,30,3994
183,36,4001
185,40,4008
185,42,4015
187,44,4021
187,46,4028
189,46,4042
189,47,4055
190,47,4076
192,47,4143
192,45,4150
196,43,4157
196,41,4164
196,40,4177
196,38,4177
196,32,4184
193,30,4191
191,26,4198
189,26,4204
187,22,4211
185,22,4226
184,21,4233
182,21,4239
180,21,4246
178,19,4253
174,13,4267
173,11,4280
171,11,4287
169,11,4307
168,11,4375
168,11,4511
163,14,1
174,28,283
201,62,290
224,89,296
279,143,303
302,169,310
342,202,316
361,221,323
397,273,330
415,291,337
431,313,343
450,332,350
457,339,357
459,343,364
461,347,370
461,349,377
465,351,384
465,355,391
465,356,398
465,358,404
465,360,411
465,361,424
465,363,431
465,365,438
462,367,445
457,373,452
453,380,458
449,384,465
439,389,472
432,394,479
425,401,485
409,403,492
402,406,499
380,406,506
367,404,512
350,401,519
334,398,526
327,394,533
315,391,540
305,389,546
299,385,553
292,382,560
276,377,566
272,375,573
262,368,580
256,365,587
249,363,593
243,363,600
241,363,607
239,363,614
237,363,620
236,363,627
234,363,634
271,361,986
348,351,992
447,346,999
545,346,1006
643,346,1012
751,351,1019
852,361,1026
927,365,1033
989,373,1040
1038,373,1046
1074,380,1053
1103,383,1060
1120,389,1067
1136,389,1073
1153,392,1080
1160,392,1087
1166,396,1094
1168,396,1100
1168,398,1154
1168,400,1195
1168,401,1235
1168,403,1249
1168,405,1256
1168,406,1263
1126,409,1561
1106,409,1568
1057,407,1574
1024,403,1581
992,400,1588
947,393,1595
884,381,1602
826,364,1608
787,364,1615
729,353,1622
677,355,1629
628,355,1635
596,359,1642
548,373,1649
523,379,1656
491,386,1663
477,391,1669
461,391,1676
455,393,1683
436,399,1690
429,399,1696
420,399,1703
414,399,1710
410,399,1717
404,399,1723
395,399,1730
390,401,1737
389,401,1744
385,401,1750
383,403,1757
380,403,1764
378,404,1771
376,406,1778
375,408,1784
373,408,1791
373,409,1798
371,409,1804
370,409,1811
368,409,1832
366,409,1845
400,402,2190
464,390,2196
521,373,2203
