386,441,761,target1
1042,519,1333,target2
268,445,1720,target1
1054,478,2161,target2
325,445,2580,target1
1151,479,2994,target2
386,451,3433,target1
1161,469,3883,target2
359,440,4311,target1
1128,444,4736,target2
350,446,5174,target1
1170,490,5632,target2
401,465,6092,target1
1132,477,6526,target2
363,439,6976,target1
1096,445,7380,target2
344,417,7800,target1
1163,445,8195,target2
473,394,8612,target1
1221,446,9032,target2
317,388,9436,target1
1052,442,9846,target2
367,379,10253,target1
1093,429,10665,target2
423,430,11156,target1
1043,430,11559,target2
460,407,12003,target1
1065,423,12421,target2
427,404,12891,target1
1086,437,13327,target2
301,397,13775,target1
1233,448,14141,target2
126,351,14528,target1
976,459,15119,miss
451,419,15521,target1
1109,448,15960,target2
458,437,16425,target1

