381,530,921,target1
1099,511,1956,target2
300,522,3055,target1
1052,508,3773,target2
395,545,4477,target1
1233,522,5227,target2
309,506,5977,target1
1335,527,6727,target2
1117,548,8055,target2
1117,548,8430,target2
331,480,9586,target1
1182,465,10602,target2
405,516,11227,target1
1140,466,11742,target2
277,506,12242,target1
1167,454,12820,target2
352,525,13274,target1
1216,437,13649,target2
139,484,14024,target1
1127,395,14524,target2
395,494,14883,target1
1276,406,15242,target2
287,445,15633,target1
1186,395,16024,target2
329,435,16399,target1
1225,386,16748,target2
501,228,17139,miss
1124,454,17842,target2
456,460,18327,target1
1140,473,18764,target2
345,530,19124,target1

