282,406,704,target1
1186,446,1477,target2
306,434,2262,target1
1336,352,2762,target2
349,440,3507,target1
1245,338,4060,target2
378,433,4900,target1
1175,384,5393,target2
338,478,5982,target1
1240,372,6502,target2
412,404,7194,target1
1181,470,7688,target2
311,463,8263,target1
1180,385,8798,target2
393,365,9420,target1
975,424,10091,miss
850,420,10586,miss
1188,457,11402,target2
355,472,12011,target1
1275,387,12538,target2
356,434,13221,target1
1227,433,13727,target2
416,413,14412,target1
1141,421,14953,target2
231,425,15509,target1
1147,413,16043,target2
388,424,16733,target1
1243,398,17254,target2
441,419,17869,target1

