230,341,1218,target1
1186,475,2000,target2
352,383,2609,target1
1197,481,3031,target2
343,362,3531,target1
1276,486,4000,target2
383,361,4546,target1
1241,480,4984,target2
384,353,5515,target1
1144,459,5984,target2
390,363,6468,target1
1058,438,6953,target2
429,380,7421,target1
1160,471,7843,target2
445,367,8359,target1
1214,466,8750,target2
271,336,9218,target1
1282,507,9656,target2
368,357,10265,target1
1161,486,10703,target2
324,363,11203,target1
1203,493,11609,target2
266,324,12109,target1
1105,483,12515,target2
320,350,13031,target1
1178,489,13420,target2
342,376,13937,target1
1284,500,14411,target2
393,358,14957,target1
1176,464,15348,target2
439,346,15864,target1
1280,488,16239,target2
319,338,16739,target1
1154,480,17176,target2
395,369,17676,target1
1273,499,18067,target2
379,355,18489,target1
1104,480,18942,target2
353,353,19426,target1
1204,512,19786,target2

