352,311,607,target1
1114,415,1183,target2
327,458,1711,target1
1142,452,2448,target2
280,429,2950,target1
1132,442,3714,target2
412,367,4485,target1
1348,429,5019,target2
253,583,5615,target1
1071,454,6434,target2
389,380,7018,target1
1143,417,7763,target2
417,419,9035,target1
1195,414,9602,target2
417,373,10151,target1
1282,436,10746,target2
273,504,11308,target1
1097,445,11916,target2
342,413,12436,target1
1003,405,12944,target2
313,380,13498,target1
1297,475,14040,target2
520,518,14892,miss
389,461,15480,target1
1010,355,16020,target2
520,453,16553,miss

