237,312,650,target1
1017,360,1239,target2
456,445,1966,target1
1019,392,2590,target2
390,427,3041,target1
1086,438,3446,target2
437,434,3951,target1
1083,409,4329,target2
399,429,4806,target1
1041,436,5191,target2
415,443,5588,target1
1140,439,5958,target2
416,429,6399,target1
1166,422,6784,target2
420,419,7196,target1
1130,409,7589,target2
413,421,8002,target1
1025,410,8426,target2
264,445,8800,target1
1215,449,9181,target2
226,469,9584,target1
1174,432,9968,target2
385,440,10358,target1
1288,441,10713,target2
333,438,11125,target1
1027,431,11500,target2
321,437,11904,target1
1101,422,12275,target2
356,434,12662,target1
1069,433,12997,target2
302,433,13339,target1
1109,414,13708,target2
365,420,14085,target1
1115,420,14397,target2
169,417,14738,target1
1075,392,15088,target2
468,432,15450,target1
1366,413,15784,target2
249,391,16208,target1
1019,377,16623,target2
359,390,17377,target1

