256,306,703,target1
1115,505,1171,target2
371,453,1562,target1
1235,545,1921,target2
404,427,2296,target1
1194,491,2734,target2
388,406,3171,target1
1171,485,3656,target2
397,397,4109,target1
1337,520,4484,target2
388,362,4984,target1
1129,428,5468,target2
140,298,5875,target1
1177,556,6296,target2
381,431,6734,target1
1228,511,7187,target2
425,420,7593,target1
1272,514,7968,target2
317,364,8375,target1
1194,495,8750,target2
418,384,9140,target1
1217,491,9500,target2
390,374,10000,target1
1066,428,10359,target2
336,357,10750,target1
1321,515,11125,target2
215,334,11625,target1
1020,452,11968,target2
376,370,12375,target1
1096,447,12812,target2
346,362,13203,target1
1309,519,13500,target2
260,346,13859,target1
1235,531,14218,target2
446,380,14619,target1
1190,477,14978,target2
386,355,15369,target1
1085,452,15806,target2
424,376,16244,target1
1267,500,16605,target2
381,370,17011,target1
1078,469,17386,target2
334,361,17839,target1
1246,490,18183,target2
312,353,18605,target1
1040,467,19027,target2
333,346,19386,target1
1060,487,19761,target2

