360,409,1046,target1
1196,473,1718,target2
417,452,2437,target1
1341,472,3218,target2
250,383,3890,target1
1254,420,4687,target2
376,457,5265,target1
1301,441,6203,target2
268,405,6796,target1
1147,409,7531,target2
412,413,8109,target1
1149,439,9015,target2
413,428,9750,target1
1137,398,10422,target2
326,371,11156,target1
1236,454,11906,target2
160,439,12656,target1
1235,428,13406,target2
310,486,14222,target1
1437,375,15043,miss
1279,397,15496,target2
253,392,16105,target1
1016,384,16996,target2
121,400,17637,target1
1165,469,18325,target2
337,375,18919,target1
1259,443,19669,target2

